channelId,videoId,commentId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,canReply,totalReplyCount,isPublic,replies
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,"Fan del potcast en Spotify, empecé a escucharlos este año 2024 y ya voy en <br>el cap. <a href=""http://www.youtube.com/results?search_query=%23104"">#104</a>.<br>♥ Amo la introducción de 15-20 min, sigan así, me alegran el camino en el metro ♥<br>literal, apenas entro a VERLOS regresando a escuchar/ver <br>𝑻𝒆𝒐𝒕𝒊𝒉𝒖𝒂𝒄𝒂𝒏 <br>Saludos!","Fan del potcast en Spotify, empecé a escucharlos este año 2024 y ya voy en 
el cap. #104.
♥ Amo la introducción de 15-20 min, sigan así, me alegran el camino en el metro ♥
literal, apenas entro a VERLOS regresando a escuchar/ver 
𝑻𝒆𝒐𝒕𝒊𝒉𝒖𝒂𝒄𝒂𝒏 
Saludos!",@ANGELE13nuit,https://yt3.ggpht.com/ytc/AIdro_n8_c08K49ta_Rmx4nCFTFYftzwgWLisTk7IHs8FinrrA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ANGELE13nuit,UCa-horileJFag1nLFZdwsSQ,True,none,0,2024-10-09T16:13:02Z,2024-10-09T16:13:02Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,"<a href=""https://www.youtube.com/watch?v=RBnZPFhDcnk&amp;t=211"">3:31</a> si vemos en el calendario solar , relata 4 catástrofes que sufrió la humanidad , somos tan antiguos que puede que si. ( Pangea )","3:31 si vemos en el calendario solar , relata 4 catástrofes que sufrió la humanidad , somos tan antiguos que puede que si. ( Pangea )",@IU_ZU,https://yt3.ggpht.com/R3_EctY3lX31A7c3kx02ah-mHXIaaCK546bR4sOKewx727KalEugg_WbvXh0Z2oyZkub_uQX6A=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@IU_ZU,UCNDlWiVoIPQ3YRn-hV0jzXg,True,none,0,2024-10-01T20:35:37Z,2024-10-01T20:35:37Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,Comentario para ayudar al algoritmo,Comentario para ayudar al algoritmo,@gerardomarin3704,https://yt3.ggpht.com/ytc/AIdro_llsVXXNftH3IeJbqvGiarCVgu80IyChxSps7u5X2xSosc=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gerardomarin3704,UCSx1Rju_L2MpgAxcmxgSmNg,True,none,0,2024-08-14T18:23:52Z,2024-08-14T18:23:52Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,"Me mata el hecho de que no pueden decir Tarapacá y si pueden decir todos esos nombres rarisimos pasados de L q suenan como Chancleta  , claclincoteco Techniclovaclo q se yo, tremendos trabalenguas 😂","Me mata el hecho de que no pueden decir Tarapacá y si pueden decir todos esos nombres rarisimos pasados de L q suenan como Chancleta  , claclincoteco Techniclovaclo q se yo, tremendos trabalenguas 😂",@maxiberisso2490,https://yt3.ggpht.com/ytc/AIdro_kfnNkuTFuPwb26kgo45I6hKoc6gEONhs2eAvW8IKA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@maxiberisso2490,UCfOOUcu30YycIB92METG2OQ,True,none,0,2024-07-22T12:04:47Z,2024-07-22T12:04:47Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,"Es el primer video que veo y me declaró mega fan. Yo si pagaba los 5,000 para ir a Teotihuacan ❤😂","Es el primer video que veo y me declaró mega fan. Yo si pagaba los 5,000 para ir a Teotihuacan ❤😂",@marianazacarias3961,https://yt3.ggpht.com/ytc/AIdro_m4g3QrilfyHH2g9ctEolhvyIZlUitAOqi1HDdfGyu39JsH=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@marianazacarias3961,UCiAb7SOjlhDjKbAu2T3MHqw,True,none,0,2024-07-22T04:39:16Z,2024-07-22T04:39:16Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,El whitexican justificando el colonialismo lol,El whitexican justificando el colonialismo lol,@Almaesazul,https://yt3.ggpht.com/ytc/AIdro_mIq3VHfPUrGhS9seKsJqeGzc2vC6doz0-nM2OENLkRxafGhMnaFzOjB0stCwcIPBngbw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Almaesazul,UC2MEnPN_zR16rRWlIu3zh3A,True,none,0,2024-07-17T14:29:52Z,2024-07-17T14:29:52Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,Quién jala yo vivo a qui en Teotihuacan,Quién jala yo vivo a qui en Teotihuacan,@gerryurbina3489,https://yt3.ggpht.com/ytc/AIdro_kawPMnnvFEiumtOTDks7MwcpFPd9r80EFvCh4KTps=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gerryurbina3489,UCq0RjdFIaDIqt7VQ8dxq7JQ,True,none,0,2024-07-16T13:12:34Z,2024-07-16T13:12:34Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,"Que pedo con la gente que se queja de que digan groserías, cuando es parte de la chispa que tiene el podcast. No cambien su escencia, la neta el programa está bien vrgs.","Que pedo con la gente que se queja de que digan groserías, cuando es parte de la chispa que tiene el podcast. No cambien su escencia, la neta el programa está bien vrgs.",@Vladi_Santos,https://yt3.ggpht.com/ytc/AIdro_nNLKlqYiHP5OZXM5uryKoKFOo3gObzgtddOChEzU5h4eNt=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@Vladi_Santos,UC2o1oybw6Z-xQ4NNxfU51PA,True,none,0,2024-07-07T21:41:24Z,2024-07-07T21:41:24Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,historia para &#39;totos&#39;?,historia para 'totos'?,@CharliesRandomTV,https://yt3.ggpht.com/N8P_sIvXE2-a3ZELFYT22GEwUFkBPRVt3w-WrRCXz5Pvc-nFQmy4Z-0HKfYmMC8hdvByj59yIg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@CharliesRandomTV,UC7fdRxas_V5EWRo8h_tP8zw,True,none,0,2024-07-07T19:11:12Z,2024-07-07T19:11:12Z,True,0,True,{}
UCeYSnd34IPe57sM8hkjWhrw,RBnZPFhDcnk,,Por ustedes conocí más de la historia de México y odie la iglesia jajaj. Son los mejores 🎉❤,Por ustedes conocí más de la historia de México y odie la iglesia jajaj. Son los mejores 🎉❤,@carolinachavez5747,https://yt3.ggpht.com/ytc/AIdro_kaVR9i-dtpHrmgVeLbIfJh3PSggAeeSHBkeFCAt8E2EA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@carolinachavez5747,UC1FGTUWHTQA9p3wvnUXO5AQ,True,none,1,2024-07-05T19:58:40Z,2024-07-05T19:58:40Z,True,0,True,{}
